"","Car_id","Date","Gender","Annual.Income","Company","Model","Engine","Transmission","Color","Price","Body.Style","Dealer_Region"
"83","C_CND_000083","1/5/2022","Male",2200000,"Oldsmobile","Cutlass","DoubleÂ Overhead Camshaft","Auto","Pale White",41000,"Sedan","Aurora"
"84","C_CND_000084","1/5/2022","Female",1100000,"Chevrolet","Corvette","DoubleÂ Overhead Camshaft","Auto","Pale White",45000,"SUV","Greenville"
"85","C_CND_000085","1/5/2022","Male",13500,"Chevrolet","Impala","Overhead Camshaft","Manual","Pale White",22001,"Hatchback","Pasco"
"86","C_CND_000086","1/5/2022","Male",1700000,"Volkswagen","Cabrio","Overhead Camshaft","Manual","Pale White",25001,"Sedan","Janesville"
"87","C_CND_000087","1/5/2022","Male",1908000,"Dodge","Dakota","Overhead Camshaft","Manual","Pale White",12800,"Sedan","Scottsdale"
"88","C_CND_000088","1/5/2022","Male",13500,"Chrysler","300M","DoubleÂ Overhead Camshaft","Auto","Black",26000,"SUV","Austin"
"89","C_CND_000089","1/5/2022","Male",13500,"BMW","328i","DoubleÂ Overhead Camshaft","Auto","Black",18000,"Sedan","Scottsdale"
"90","C_CND_000090","1/5/2022","Male",2550000,"Oldsmobile","Bravada","DoubleÂ Overhead Camshaft","Auto","Pale White",19000,"Hatchback","Austin"
"91","C_CND_000091","1/5/2022","Male",1245000,"Nissan","Maxima","Overhead Camshaft","Manual","Pale White",22500,"Sedan","Middletown"
"92","C_CND_000092","1/5/2022","Male",13500,"Dodge","Ram Pickup","Overhead Camshaft","Manual","Pale White",21001,"Hardtop","Austin"
"93","C_CND_000093","1/5/2022","Male",1115000,"Chrysler","Concorde","DoubleÂ Overhead Camshaft","Auto","Pale White",46500,"Hardtop","Aurora"
"94","C_CND_000094","1/5/2022","Male",13500,"Chrysler","300M","DoubleÂ Overhead Camshaft","Auto","Pale White",16000,"SUV","Pasco"
"95","C_CND_000095","1/5/2022","Male",2110000,"Volvo","V70","DoubleÂ Overhead Camshaft","Auto","Black",39000,"Passenger","Janesville"
"96","C_CND_000096","1/5/2022","Female",13500,"Nissan","Quest","Overhead Camshaft","Manual","Black",19000,"SUV","Scottsdale"
"97","C_CND_000097","1/5/2022","Male",1050000,"Chrysler","LHS","DoubleÂ Overhead Camshaft","Auto","Black",26000,"Hatchback","Austin"
"98","C_CND_000098","1/5/2022","Male",13500,"Honda","Accord","Overhead Camshaft","Manual","Black",43000,"Sedan","Janesville"
"99","C_CND_000099","1/5/2022","Female",13500,"Nissan","Maxima","Overhead Camshaft","Manual","Pale White",54000,"Sedan","Scottsdale"
"100","C_CND_000100","1/5/2022","Male",320000,"Dodge","Durango","DoubleÂ Overhead Camshaft","Auto","Pale White",22000,"SUV","Austin"
"101","C_CND_000101","1/6/2022","Male",13500,"Lexus","ES300","DoubleÂ Overhead Camshaft","Auto","Black",16001,"SUV","Austin"
"102","C_CND_000102","1/6/2022","Female",760000,"BMW","328i","DoubleÂ Overhead Camshaft","Auto","Black",16001,"Sedan","Middletown"
"103","C_CND_000103","1/6/2022","Male",1390000,"Toyota","Land Cruiser","DoubleÂ Overhead Camshaft","Auto","Pale White",12000,"SUV","Greenville"
"104","C_CND_000104","1/6/2022","Male",659000,"Mercedes-B","SL-Class","Overhead Camshaft","Manual","Black",38000,"Hardtop","Janesville"
"105","C_CND_000105","1/6/2022","Male",1330000,"Ford","Explorer","DoubleÂ Overhead Camshaft","Auto","Pale White",42000,"Hatchback","Middletown"
"106","C_CND_000106","1/6/2022","Male",13500,"Nissan","Pathfinder","DoubleÂ Overhead Camshaft","Auto","Pale White",21000,"Hatchback","Aurora"
"107","C_CND_000107","1/6/2022","Female",13500,"Volvo","C70","DoubleÂ Overhead Camshaft","Auto","Black",49000,"Hatchback","Janesville"
"108","C_CND_000108","1/6/2022","Male",1362000,"Chevrolet","Prizm","Overhead Camshaft","Manual","Pale White",21200,"Hardtop","Pasco"
"109","C_CND_000109","1/6/2022","Male",480000,"Mercury","Grand Marquis","Overhead Camshaft","Manual","Pale White",71000,"SUV","Middletown"
"110","C_CND_000110","1/6/2022","Female",365000,"Chevrolet","Camaro","DoubleÂ Overhead Camshaft","Auto","Pale White",17000,"Sedan","Aurora"
"111","C_CND_000111","1/9/2022","Female",481000,"Subaru","Outback","DoubleÂ Overhead Camshaft","Auto","Pale White",57001,"SUV","Aurora"
"112","C_CND_000112","1/9/2022","Male",700000,"Buick","Park Avenue","DoubleÂ Overhead Camshaft","Auto","Pale White",62001,"Hatchback","Greenville"
"113","C_CND_000113","1/9/2022","Male",1350000,"Ford","Taurus","Overhead Camshaft","Manual","Black",69001,"SUV","Pasco"
"114","C_CND_000114","1/9/2022","Male",750000,"Chevrolet","Cavalier","Overhead Camshaft","Manual","Pale White",20001,"SUV","Janesville"
"115","C_CND_000115","1/9/2022","Male",451000,"Audi","A4","DoubleÂ Overhead Camshaft","Auto","Black",27000,"Hardtop","Austin"
"116","C_CND_000116","1/9/2022","Female",650000,"Ford","Focus","Overhead Camshaft","Manual","Black",49000,"Hardtop","Janesville"
"117","C_CND_000117","1/9/2022","Male",700000,"Mitsubishi","Diamante","Overhead Camshaft","Manual","Black",49000,"Hatchback","Austin"
"118","C_CND_000118","1/9/2022","Female",13500,"Lexus","GS400","DoubleÂ Overhead Camshaft","Auto","Black",12000,"Hatchback","Middletown"
"119","C_CND_000119","1/9/2022","Female",1220000,"Mercedes-B","M-Class","Overhead Camshaft","Manual","Pale White",25000,"Hatchback","Greenville"
"120","C_CND_000120","1/9/2022","Male",1300000,"Chrysler","Concorde","DoubleÂ Overhead Camshaft","Auto","Pale White",42000,"Hatchback","Pasco"
"121","C_CND_000121","1/9/2022","Male",470000,"Chrysler","Sebring Coupe","DoubleÂ Overhead Camshaft","Auto","Pale White",19000,"Sedan","Janesville"
"122","C_CND_000122","1/9/2022","Female",1167500,"Chevrolet","Monte Carlo","Overhead Camshaft","Manual","Pale White",26750,"Hatchback","Scottsdale"
"123","C_CND_000123","1/9/2022","Male",3000000,"Cadillac","Eldorado","DoubleÂ Overhead Camshaft","Auto","Pale White",31000,"Passenger","Austin"
"124","C_CND_000124","1/9/2022","Male",1900000,"Saturn","LW","Overhead Camshaft","Manual","Pale White",49000,"Hatchback","Middletown"
"125","C_CND_000125","1/9/2022","Female",1690000,"Hyundai","Sonata","Overhead Camshaft","Manual","Black",15000,"SUV","Aurora"
"126","C_CND_000126","1/9/2022","Male",2800000,"Mercury","Sable","DoubleÂ Overhead Camshaft","Auto","Pale White",26000,"Sedan","Greenville"
"127","C_CND_000127","1/9/2022","Male",642000,"Mercedes-B","SL-Class","Overhead Camshaft","Manual","Pale White",17000,"Hardtop","Greenville"
"128","C_CND_000128","1/9/2022","Female",705000,"Volvo","C70","Overhead Camshaft","Manual","Pale White",24000,"Hatchback","Pasco"
"129","C_CND_000129","1/9/2022","Male",670000,"Chevrolet","Metro","DoubleÂ Overhead Camshaft","Auto","Pale White",19000,"Passenger","Janesville"
"130","C_CND_000130","1/9/2022","Male",13500,"Jaguar","S-Type","Overhead Camshaft","Manual","Pale White",20000,"Passenger","Scottsdale"
"131","C_CND_000131","1/10/2022","Female",1985000,"Acura","TL","DoubleÂ Overhead Camshaft","Auto","Black",28501,"Hatchback","Scottsdale"
"132","C_CND_000132","1/10/2022","Male",1275000,"BMW","323i","DoubleÂ Overhead Camshaft","Auto","Pale White",15500,"Hatchback","Aurora"
"133","C_CND_000133","1/10/2022","Male",13500,"Plymouth","Voyager","Overhead Camshaft","Manual","Pale White",20000,"Passenger","Austin"
"134","C_CND_000134","1/10/2022","Male",1650000,"Nissan","Maxima","Overhead Camshaft","Manual","Pale White",29000,"Sedan","Pasco"
"135","C_CND_000135","1/10/2022","Male",520500,"Chrysler","Cirrus","DoubleÂ Overhead Camshaft","Auto","Pale White",12500,"Passenger","Austin"
"136","C_CND_000136","1/12/2022","Female",500000,"Mercury","Grand Marquis","Overhead Camshaft","Manual","Pale White",16001,"SUV","Austin"
"137","C_CND_000137","1/12/2022","Male",1172500,"Lexus","ES300","DoubleÂ Overhead Camshaft","Auto","Pale White",27250,"SUV","Middletown"
"138","C_CND_000138","1/12/2022","Male",441000,"Dodge","Intrepid","Overhead Camshaft","Manual","Black",11000,"Sedan","Aurora"
"139","C_CND_000139","1/12/2022","Male",1310000,"Nissan","Maxima","Overhead Camshaft","Manual","Pale White",22001,"Sedan","Greenville"
"140","C_CND_000140","1/12/2022","Male",13500,"Dodge","Avenger","DoubleÂ Overhead Camshaft","Auto","Pale White",22000,"Passenger","Pasco"
"141","C_CND_000141","1/12/2022","Male",1200000,"Chevrolet","Corvette","Overhead Camshaft","Manual","Pale White",22000,"SUV","Janesville"
"142","C_CND_000142","1/12/2022","Male",1680000,"Acura","RL","Overhead Camshaft","Manual","Black",18000,"SUV","Greenville"
"143","C_CND_000143","1/12/2022","Male",1340000,"Honda","Odyssey","Overhead Camshaft","Manual","Pale White",27000,"Passenger","Pasco"
"144","C_CND_000144","1/12/2022","Female",901000,"Oldsmobile","Intrigue","Overhead Camshaft","Manual","Pale White",25000,"SUV","Janesville"
"145","C_CND_000145","1/12/2022","Female",849500,"Acura","RL","Overhead Camshaft","Manual","Pale White",26500,"SUV","Scottsdale"
"146","C_CND_000146","1/12/2022","Male",13500,"Ford","Taurus","Overhead Camshaft","Manual","Black",69000,"SUV","Austin"
"147","C_CND_000147","1/12/2022","Female",1071500,"Oldsmobile","Silhouette","Overhead Camshaft","Manual","Pale White",14150,"Sedan","Middletown"
"148","C_CND_000148","1/12/2022","Male",1740000,"Saab","5-Sep","Overhead Camshaft","Manual","Pale White",28000,"Hatchback","Janesville"
"149","C_CND_000149","1/12/2022","Male",13500,"Honda","Civic","Overhead Camshaft","Manual","Black",43000,"Hatchback","Scottsdale"
"150","C_CND_000150","1/12/2022","Male",1700000,"BMW","528i","Overhead Camshaft","Manual","Pale White",25000,"SUV","Austin"
"151","C_CND_000151","1/12/2022","Male",1100000,"Oldsmobile","Silhouette","DoubleÂ Overhead Camshaft","Auto","Pale White",12000,"Sedan","Middletown"
"152","C_CND_000152","1/12/2022","Male",13500,"Lexus","LS400","DoubleÂ Overhead Camshaft","Auto","Black",39000,"Sedan","Aurora"
"153","C_CND_000153","1/12/2022","Male",2155000,"Cadillac","Eldorado","DoubleÂ Overhead Camshaft","Auto","Black",60500,"Passenger","Greenville"
"154","C_CND_000154","1/12/2022","Male",13500,"Volkswagen","Jetta","DoubleÂ Overhead Camshaft","Auto","Pale White",16000,"Passenger","Janesville"
"155","C_CND_000155","1/12/2022","Male",13500,"Pontiac","Bonneville","DoubleÂ Overhead Camshaft","Auto","Pale White",19000,"Hatchback","Scottsdale"
"156","C_CND_000156","1/12/2022","Male",661000,"Chevrolet","Monte Carlo","Overhead Camshaft","Manual","Black",44000,"Hatchback","Austin"
"157","C_CND_000157","1/12/2022","Female",13500,"Oldsmobile","Aurora","Overhead Camshaft","Manual","Pale White",71000,"Passenger","Middletown"
"158","C_CND_000158","1/12/2022","Male",13500,"Ford","Mustang","Overhead Camshaft","Manual","Pale White",25000,"Hatchback","Aurora"
"159","C_CND_000159","1/12/2022","Male",2750000,"Mitsubishi","Diamante","DoubleÂ Overhead Camshaft","Auto","Black",18000,"Hatchback","Greenville"
"160","C_CND_000160","1/12/2022","Male",13500,"Ford","Expedition","Overhead Camshaft","Manual","Pale White",22000,"SUV","Middletown"
"161","C_CND_000161","1/12/2022","Male",13500,"Mercedes-B","M-Class","Overhead Camshaft","Manual","Pale White",41000,"Hardtop","Middletown"
"162","C_CND_000162","1/12/2022","Female",13500,"Ford","Focus","Overhead Camshaft","Manual","Black",49000,"Hardtop","Greenville"
"163","C_CND_000163","1/12/2022","Male",950000,"Volkswagen","Jetta","DoubleÂ Overhead Camshaft","Auto","Pale White",19000,"Passenger","Pasco"
"164","C_CND_000164","1/12/2022","Female",715000,"BMW","528i","Overhead Camshaft","Manual","Black",21000,"SUV","Janesville"
"165","C_CND_000165","1/12/2022","Female",13500,"Subaru","Forester","DoubleÂ Overhead Camshaft","Auto","Black",22000,"Hardtop","Scottsdale"
"166","C_CND_000166","1/13/2022","Female",847000,"Plymouth","Breeze","Overhead Camshaft","Manual","Pale White",16000,"SUV","Scottsdale"
"167","C_CND_000167","1/13/2022","Female",13500,"Volkswagen","Beetle","DoubleÂ Overhead Camshaft","Auto","Pale White",45000,"SUV","Austin"
"168","C_CND_000168","1/13/2022","Male",1176500,"Dodge","Intrepid","Overhead Camshaft","Manual","Black",11650,"Sedan","Middletown"
"169","C_CND_000169","1/13/2022","Male",955000,"Hyundai","Elantra","Overhead Camshaft","Manual","Pale White",26000,"Sedan","Aurora"
"170","C_CND_000170","1/13/2022","Male",800000,"Saturn","SW","Overhead Camshaft","Manual","Black",36000,"Passenger","Aurora"
"171","C_CND_000171","1/13/2022","Male",13500,"Lincoln","Continental","Overhead Camshaft","Manual","Pale White",82000,"Passenger","Greenville"
"172","C_CND_000172","1/13/2022","Female",13500,"Chevrolet","Camaro","DoubleÂ Overhead Camshaft","Auto","Pale White",24000,"Sedan","Pasco"
"173","C_CND_000173","1/13/2022","Male",626800,"Nissan","Pathfinder","Overhead Camshaft","Manual","Pale White",11800,"Hardtop","Austin"
"174","C_CND_000174","1/13/2022","Male",2115000,"Toyota","RAV4","DoubleÂ Overhead Camshaft","Auto","Pale White",27500,"Hatchback","Pasco"
"175","C_CND_000175","1/13/2022","Male",2810000,"Mercury","Villager","DoubleÂ Overhead Camshaft","Auto","Pale White",36000,"Passenger","Janesville"
"176","C_CND_000176","1/13/2022","Male",13500,"Jaguar","S-Type","Overhead Camshaft","Manual","Pale White",20000,"Passenger","Scottsdale"
"177","C_CND_000177","1/13/2022","Male",13500,"Mercedes-B","SLK","Overhead Camshaft","Manual","Pale White",17000,"Passenger","Austin"
"178","C_CND_000178","1/13/2022","Male",1589000,"Volkswagen","Jetta","DoubleÂ Overhead Camshaft","Auto","Pale White",16900,"Passenger","Pasco"
"179","C_CND_000179","1/13/2022","Male",1385000,"Buick","Regal","DoubleÂ Overhead Camshaft","Auto","Pale White",46500,"Passenger","Janesville"
"180","C_CND_000180","1/13/2022","Male",2000000,"Mercedes-B","C-Class","DoubleÂ Overhead Camshaft","Auto","Black",14000,"Hatchback","Scottsdale"
"181","C_CND_000181","1/13/2022","Male",951000,"Toyota","Sienna","Overhead Camshaft","Manual","Black",16000,"Passenger","Austin"
"182","C_CND_000182","1/13/2022","Male",1390000,"Volvo","S70","Overhead Camshaft","Manual","Black",22000,"Hardtop","Austin"
"183","C_CND_000183","1/13/2022","Male",2320000,"Nissan","Altima","DoubleÂ Overhead Camshaft","Auto","Pale White",20000,"Hatchback","Middletown"
"184","C_CND_000184","1/13/2022","Female",2752000,"Toyota","Celica","Overhead Camshaft","Manual","Pale White",14200,"SUV","Aurora"
"185","C_CND_000185","1/13/2022","Male",655000,"Saturn","LS","DoubleÂ Overhead Camshaft","Auto","Pale White",51000,"Sedan","Greenville"
"186","C_CND_000186","1/17/2022","Male",890000,"Mitsubishi","Diamante","Overhead Camshaft","Manual","Pale White",19000,"Hatchback","Greenville"
"187","C_CND_000187","1/17/2022","Male",1330000,"Lexus","GS400","DoubleÂ Overhead Camshaft","Auto","Pale White",31000,"Hatchback","Pasco"
"188","C_CND_000188","1/17/2022","Male",13500,"Porsche","Carrera Cabrio","DoubleÂ Overhead Camshaft","Auto","Pale White",32000,"Passenger","Janesville"
"189","C_CND_000189","1/17/2022","Male",900000,"Dodge","Ram Van","DoubleÂ Overhead Camshaft","Auto","Pale White",31000,"Hatchback","Scottsdale"
"190","C_CND_000190","1/17/2022","Male",570000,"Oldsmobile","Silhouette","Overhead Camshaft","Manual","Pale White",14000,"Sedan","Scottsdale"
